title,link
Living Life to the Max,http://jendowoz.blogspot.com/2015/04/jens-sims-4-challenges.html
Hotel Challenge,http://modthesims.info/showthread.php?t=538771
Well Rounded Family,http://modthesims.info/t/553526
Homeless Challenge (with 4 levels of difficulty),http://sims4challengesrules.blogspot.com/2014/09/homeless-challenge.html
Black Widow Challenge (with levels of difficulty),http://sims4challengesrules.blogspot.com/2014/10/black-widow-challenge.html
Royal Challenge,http://sims4royalchallenge.blogspot.com/
Princess Challenge,http://www.modthesims.info/showthread.php?t=539359
The Legacy Challenge,http://www.simslegacychallenge.com/the-sims-4-legacy-challenge-rules/
Accidental Time Traveller Legacy,https://accidentaltimetraveller.weebly.com/
Disney Princess Challenge,https://forums.thesims.com/en_US/discussion/784536/the-disney-princess-10-gen-challenge-now-updated-for-the-sims-4
Clone challenge,https://forums.thesims.com/en_US/discussion/786611/the-clone-challenge-updated-for-sims-4
Perfect Children,https://forums.thesims.com/en_US/discussion/788358/perfect-children-a-new-challenge
Love Thy Neighbor,https://forums.thesims.com/en_US/discussion/789497/love-thy-neighbour-sims-4-challenge
Apocalypse Challenge,https://forums.thesims.com/en_US/discussion/789944/the-apocalypse-challenge-attempt-to-adaptation
Runaway Teen Challenge,https://forums.thesims.com/en_US/discussion/790920/bringing-back-the-runaway-teen-challenge
Rosebud Challenge - Can you become a Sim millionaire,https://forums.thesims.com/en_US/discussion/792094/rosebud-challenge-can-you-become-a-sim-millionaire-euphorialqueen
Living off the Land,https://forums.thesims.com/en_US/discussion/793497/living-off-the-land-challenge
Alien Challenge,https://forums.thesims.com/en_US/discussion/794588/the-alien-challenge
Mooch Off Your Neighbour Challenge,https://forums.thesims.com/en_US/discussion/796070/mooch-off-your-neighbor-challenge
Just the way I am,https://forums.thesims.com/en_US/discussion/797161/just-the-way-i-am-new-challenge
Child Center Challenge,https://forums.thesims.com/en_US/discussion/799754/sims-4-child-center-challenge-any-range-of-time-to-any-difficulty
Hurry up Legacy,https://forums.thesims.com/en_US/discussion/799876/hurry-up-legacy-challenge-new-legacy-challenge-variety
Gold Digger Challenge,https://forums.thesims.com/en_US/discussion/808983/sims-4-gold-digger-challenge
Astronaut Legend Challenge,https://forums.thesims.com/en_US/discussion/810555/the-sims-4-astronaut-legend-challenge
Royal Kingdom Challenge,https://forums.thesims.com/en_US/discussion/815692/the-sims-4-royal-kingdom
Neighborhood Wishes Challenge,https://forums.thesims.com/en_US/discussion/817445/the-neighborhood-wishes-challenge
Going Broke Challenge,https://forums.thesims.com/en_US/discussion/818074/going-broke-challenge
Rosebud 500k Solitaire Rosebud challenge for a single sim,https://forums.thesims.com/en_US/discussion/820494/rosebud-500k-solitaire-by-euphorialqueen
Game of Thrones Legacy Challenge - still under development,https://forums.thesims.com/en_US/discussion/820875/game-of-thrones-10-generation-legacy-challenge
I'm a Lover Challenge,https://forums.thesims.com/en_US/discussion/821243/the-sims-4-im-a-lover-challenge-10-generations
History Challenge,https://forums.thesims.com/en_US/discussion/829714/beta-the-sims-4-history-challenge%22
Finishing School Challenge,https://forums.thesims.com/en_US/discussion/831422/the-sims-4-finishing-school-challege%22
Complete the Family Tree Challenge,https://forums.thesims.com/en_US/discussion/831862/complete-the-family-tree-challenge
Perfect Sim Challenge,https://forums.thesims.com/en_US/discussion/836823/perfect-sim-challenge
My Little Pony - Friendship is Magic,https://forums.thesims.com/en_US/discussion/842253/my-little-pony-friendship-is-magic-legacy-challenge
Zodiac Population Challenge,https://forums.thesims.com/en_US/discussion/842800/12-zodiac-population-challenge
Queen Bee Challenge,https://forums.thesims.com/en_US/discussion/850472/queen-bee-challenge?new=1
Cowplant Farm Challenge,https://forums.thesims.com/en_US/discussion/comment/13573879/#Comment_13573879
Alien Takeover Challenge,https://forums.thesims.com/en_US/discussion/comment/13715765/#Comment_13715765
Foster Child Challenge,https://simlady36.wordpress.com/oster-child-challenge-rules/
100 Baby Challenge,https://snarky-sims-witch.tumblr.com/post/181535303038/tos-i-am-the-original-writer-of-the-sims-4-version